ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
1a3d1fa7bc8940a9,classic_bike,2024-06-01 18:39:17,2024-06-01 18:58:00,N 8 St & Driggs Ave,5453.07,Broadway & E 14 St,5905.12,40.7177,-73.9560,40.7345,-73.9907,casual
32e706298fad41a6,electric_bike,2024-06-02 09:43:14,2024-06-02 10:19:43,W 21 St & 6 Ave,6140.05,W 21 St & 6 Ave,6140.05,40.7418,-73.9945,40.7418,-73.9945,member
b2b9437a28df4ec4,electric_bike,2024-06-05 19:48:55,2024-06-05 19:51:21,Central Park S & 6 Ave,6904.04,Grand Army Plaza & Plaza St West,4066.15,40.7659,-73.9764,40.6729,-73.9709,casual
5be6128e18c24797,electric_bike,2024-06-04 19:01:21,2024-06-04 19:10:19,8 Ave & W 31 St,6450.12,1 Ave & E 68 St,6753.08,40.7502,-73.9978,40.7659,-73.9585,casual
142c3fe860e74113,electric_bike,2024-06-12 13:50:34,2024-06-12 14:01:05,9 Ave & W 45 St,6717.06,W 21 St & 6 Ave,6140.05,40.7602,-73.9913,40.7418,-73.9945,casual
146d3f31fc374a4c,classic_bike,2024-06-12 07:11:02,2024-06-12 07:28:35,Grand Army Plaza & Plaza St West,4066.15,West St & Chambers St,5470.10,40.6729,-73.9709,40.7175,-74.0134,member
35a240ae5af34553,electric_bike,2024-06-08 16:50:53,2024-06-08 17:17:47,E 17 St & Broadway,5905.14,8 Ave & W 31 St,6450.12,40.7370,-73.9901,40.7502,-73.9978,member
451b4cf361234df7,classic_bike,2024-06-03 15:06:46,2024-06-03 15:25:28,Grand Army Plaza & Plaza St West,4066.15,N 8 St & Driggs Ave,5453.07,40.6729,-73.9709,40.7177,-73.9560,casual
448aaa9e66b24c5b,classic_bike,2024-06-13 06:57:14,2024-06-13 07:01:25,E 47 St & Park Ave,6551.09,9 Ave & W 45 St,6717.06,40.7553,-73.9746,40.7602,-73.9913,member
a491f0b2ea1f4a65,electric_bike,2024-06-12 11:22:13,2024-06-12 11:58:17,South End Ave & Liberty St,5303.06,Grand Army Plaza & Plaza St West,4066.15,40.7111,-74.0158,40.6729,-73.9709,member
6dadd6c795a74d79,electric_bike,2024-06-04 18:42:35,2024-06-04 19:21:22,8 Ave & W 31 St,6450.12,1 Ave & E 68 St,6753.08,40.7502,-73.9978,40.7659,-73.9585,casual
a0a04dc427204bdf,classic_bike,2024-06-09 14:25:05,2024-06-09 14:30:17,West St & Chambers St,5470.10,1 Ave & E 68 St,6753.08,40.7175,-74.0134,40.7659,-73.9585,casual
