station_id,station_name,starts,ends,total_traffic
5453.07,N 8 St & Driggs Ave,85,106,191
5905.14,E 17 St & Broadway,88,88,176
5525.04,Bedford Ave & Nassau Ave,89,83,172
6904.04,Central Park S & 6 Ave,95,76,171
6753.08,1 Ave & E 68 St,92,69,161
5905.12,Broadway & E 14 St,79,79,158
4066.15,Grand Army Plaza & Plaza St West,78,77,155
6450.12,8 Ave & W 31 St,71,82,153
6717.06,9 Ave & W 45 St,73,80,153
5788.13,Lafayette St & E 8 St,75,78,153
6551.09,E 47 St & Park Ave,70,80,150
5573.05,Pier 40 - Hudson River Park,83,65,148
5470.10,West St & Chambers St,66,78,144
6140.05,W 21 St & 6 Ave,68,74,142
5303.06,South End Ave & Liberty St,71,68,139
