ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,duration_sec
039a8ed5f3374261,electric_bike,2024-06-01T06:38:34.000000,2024-06-01T06:54:10.000000,Central Park S & 6 Ave,6904.04,E 17 St & Broadway,5905.14,40.7659,-73.9764,40.737,-73.9901,member,936
8578b1c6f7eb469a,electric_bike,2024-06-01T06:40:41.000000,2024-06-01T07:04:48.000000,South End Ave & Liberty St,5303.06,Central Park S & 6 Ave,6904.04,40.7111,-74.0158,40.7659,-73.9764,casual,1447
87f7e1fbda4b49ca,classic_bike,2024-06-01T06:51:37.000000,2024-06-01T07:26:09.000000,Bedford Ave & Nassau Ave,5525.04,Lafayette St & E 8 St,5788.13,40.723,-73.9521,40.7302,-73.991,member,2072
d6e8aad3403a423a,electric_bike,2024-06-01T07:01:59.000000,2024-06-01T07:36:54.000000,N 8 St & Driggs Ave,5453.07,1 Ave & E 68 St,6753.08,40.7177,-73.956,40.7659,-73.9585,casual,2095
0d56e00031454a6c,classic_bike,2024-06-01T07:06:55.000000,2024-06-01T07:42:28.000000,Central Park S & 6 Ave,6904.04,N 8 St & Driggs Ave,5453.07,40.7659,-73.9764,40.7177,-73.956,member,2133
a8fc5690e9b144a1,electric_bike,2024-06-01T07:08:24.000000,2024-06-01T07:28:55.000000,Central Park S & 6 Ave,6904.04,N 8 St & Driggs Ave,5453.07,40.7659,-73.9764,40.7177,-73.956,member,1231
86c5547c051a4039,electric_bike,2024-06-01T07:32:03.000000,2024-06-01T07:49:55.000000,1 Ave & E 68 St,6753.08,Central Park S & 6 Ave,6904.04,40.7659,-73.9585,40.7659,-73.9764,member,1072
4e6384bb3e494f43,electric_bike,2024-06-01T07:35:18.000000,2024-06-01T07:52:25.000000,Central Park S & 6 Ave,6904.04,9 Ave & W 45 St,6717.06,40.7659,-73.9764,40.7602,-73.9913,casual,1027
4fe898d8c22c46a8,classic_bike,2024-06-01T07:45:33.000000,2024-06-01T08:08:52.000000,Central Park S & 6 Ave,6904.04,South End Ave & Liberty St,5303.06,40.7659,-73.9764,40.7111,-74.0158,casual,1399
9c7060da48cd49c5,classic_bike,2024-06-01T07:51:26.000000,2024-06-01T08:05:36.000000,South End Ave & Liberty St,5303.06,Broadway & E 14 St,5905.12,40.7111,-74.0158,40.7345,-73.9907,casual,850
f6bffaa971fc42e6,electric_bike,2024-06-01T07:59:10.000000,2024-06-01T08:11:34.000000,Central Park S & 6 Ave,6904.04,E 17 St & Broadway,5905.14,40.7659,-73.9764,40.737,-73.9901,casual,744
4663f1a104db43f3,classic_bike,2024-06-01T08:03:42.000000,2024-06-01T08:42:00.000000,Pier 40 - Hudson River Park,5573.05,South End Ave & Liberty St,5303.06,40.7276,-74.0115,40.7111,-74.0158,member,2298
c11ea16ba6d64330,electric_bike,2024-06-01T08:10:19.000000,2024-06-01T08:42:04.000000,9 Ave & W 45 St,6717.06,W 21 St & 6 Ave,6140.05,40.7602,-73.9913,40.7418,-73.9945,casual,1905
ab6ef8dd5a664316,electric_bike,2024-06-01T08:41:05.000000,2024-06-01T09:01:55.000000,West St & Chambers St,5470.10,N 8 St & Driggs Ave,5453.07,40.7175,-74.0134,40.7177,-73.956,casual,1250
3b6b1c0d702845af,classic_bike,2024-06-01T08:45:18.000000,2024-06-01T09:00:25.000000,Bedford Ave & Nassau Ave,5525.04,E 17 St & Broadway,5905.14,40.723,-73.9521,40.737,-73.9901,casual,907
5bed83be136d4cce,classic_bike,2024-06-01T09:03:28.000000,2024-06-01T09:21:25.000000,8 Ave & W 31 St,6450.12,E 17 St & Broadway,5905.14,40.7502,-73.9978,40.737,-73.9901,casual,1077
cd5f4822696648aa,classic_bike,2024-06-01T09:03:47.000000,2024-06-01T09:28:27.000000,South End Ave & Liberty St,5303.06,E 17 St & Broadway,5905.14,40.7111,-74.0158,40.737,-73.9901,casual,1480
f5264ea279534cb7,classic_bike,2024-06-01T09:28:54.000000,2024-06-01T09:32:04.000000,West St & Chambers St,5470.10,Lafayette St & E 8 St,5788.13,40.7175,-74.0134,40.7302,-73.991,member,190
8f2de908f9da4f55,classic_bike,2024-06-01T09:44:25.000000,2024-06-01T09:58:57.000000,E 17 St & Broadway,5905.14,Grand Army Plaza & Plaza St West,4066.15,40.737,-73.9901,40.6729,-73.9709,casual,872
d527189bdb2845da,classic_bike,2024-06-01T10:02:02.000000,2024-06-01T10:16:52.000000,N 8 St & Driggs Ave,5453.07,E 47 St & Park Ave,6551.09,40.7177,-73.956,40.7553,-73.9746,member,890
e79524eb84fa4889,electric_bike,2024-06-01T10:14:19.000000,2024-06-01T10:19:28.000000,E 17 St & Broadway,5905.14,N 8 St & Driggs Ave,5453.07,40.737,-73.9901,40.7177,-73.956,casual,309
bfbf397bac3e4b0d,electric_bike,2024-06-01T10:30:34.000000,2024-06-01T10:41:00.000000,9 Ave & W 45 St,6717.06,E 17 St & Broadway,5905.14,40.7602,-73.9913,40.737,-73.9901,casual,626
3f91c419e84649df,electric_bike,2024-06-01T10:57:16.000000,2024-06-01T11:15:20.000000,9 Ave & W 45 St,6717.06,1 Ave & E 68 St,6753.08,40.7602,-73.9913,40.7659,-73.9585,casual,1084
87fa841a3e83491f,electric_bike,2024-06-01T11:00:22.000000,2024-06-01T11:27:57.000000,Lafayette St & E 8 St,5788.13,9 Ave & W 45 St,6717.06,40.7302,-73.991,40.7602,-73.9913,member,1655
be2de8c89fe34824,classic_bike,2024-06-01T11:04:36.000000,2024-06-01T11:34:02.000000,8 Ave & W 31 St,6450.12,8 Ave & W 31 St,6450.12,40.7502,-73.9978,40.7502,-73.9978,member,1766
23204ff5b538496c,classic_bike,2024-06-01T11:16:42.000000,2024-06-01T11:30:41.000000,Grand Army Plaza & Plaza St West,4066.15,Grand Army Plaza & Plaza St West,4066.15,40.6729,-73.9709,40.6729,-73.9709,member,839
4350ab0610594a28,classic_bike,2024-06-01T11:43:51.000000,2024-06-01T12:15:09.000000,9 Ave & W 45 St,6717.06,South End Ave & Liberty St,5303.06,40.7602,-73.9913,40.7111,-74.0158,casual,1878
ce9e592936304a60,electric_bike,2024-06-01T11:45:50.000000,2024-06-01T11:50:45.000000,W 21 St & 6 Ave,6140.05,Lafayette St & E 8 St,5788.13,40.7418,-73.9945,40.7302,-73.991,member,295
b2414482519844d8,electric_bike,2024-06-01T11:52:41.000000,2024-06-01T12:20:42.000000,Pier 40 - Hudson River Park,5573.05,Central Park S & 6 Ave,6904.04,40.7276,-74.0115,40.7659,-73.9764,casual,1681
d6c6f45cdc5e4e78,electric_bike,2024-06-01T12:09:59.000000,2024-06-01T12:33:35.000000,Pier 40 - Hudson River Park,5573.05,South End Ave & Liberty St,5303.06,40.7276,-74.0115,40.7111,-74.0158,casual,1416
4ec3f970956d40e4,classic_bike,2024-06-01T12:17:21.000000,2024-06-01T12:26:49.000000,Central Park S & 6 Ave,6904.04,E 47 St & Park Ave,6551.09,40.7659,-73.9764,40.7553,-73.9746,casual,568
7d127b6b87b34329,classic_bike,2024-06-01T12:43:35.000000,2024-06-01T13:22:12.000000,E 47 St & Park Ave,6551.09,Bedford Ave & Nassau Ave,5525.04,40.7553,-73.9746,40.723,-73.9521,member,2317
744cc6aee03f4f2c,electric_bike,2024-06-01T12:45:53.000000,2024-06-01T13:16:48.000000,Pier 40 - Hudson River Park,5573.05,1 Ave & E 68 St,6753.08,40.7276,-74.0115,40.7659,-73.9585,casual,1855
62dbc8503c5b43a7,classic_bike,2024-06-01T13:04:03.000000,2024-06-01T13:33:06.000000,South End Ave & Liberty St,5303.06,Lafayette St & E 8 St,5788.13,40.7111,-74.0158,40.7302,-73.991,casual,1743
13fc927f72374f5b,electric_bike,2024-06-01T13:15:56.000000,2024-06-01T13:26:48.000000,Broadway & E 14 St,5905.12,Broadway & E 14 St,5905.12,40.7345,-73.9907,40.7345,-73.9907,casual,652
6bd1f826e6c24bb7,electric_bike,2024-06-01T13:51:42.000000,2024-06-01T14:22:32.000000,Pier 40 - Hudson River Park,5573.05,Lafayette St & E 8 St,5788.13,40.7276,-74.0115,40.7302,-73.991,member,1850
64f22a7c87f747fa,electric_bike,2024-06-01T14:01:46.000000,2024-06-01T14:38:11.000000,E 17 St & Broadway,5905.14,W 21 St & 6 Ave,6140.05,40.737,-73.9901,40.7418,-73.9945,member,2185
160beed40dc5442e,electric_bike,2024-06-01T14:02:57.000000,2024-06-01T14:08:23.000000,W 21 St & 6 Ave,6140.05,1 Ave & E 68 St,6753.08,40.7418,-73.9945,40.7659,-73.9585,casual,326
51057c351ceb48fe,electric_bike,2024-06-01T14:22:34.000000,2024-06-01T14:50:08.000000,E 47 St & Park Ave,6551.09,Grand Army Plaza & Plaza St West,4066.15,40.7553,-73.9746,40.6729,-73.9709,casual,1654
f129ed2f25ec47e4,electric_bike,2024-06-01T15:06:15.000000,2024-06-01T15:28:10.000000,1 Ave & E 68 St,6753.08,West St & Chambers St,5470.10,40.7659,-73.9585,40.7175,-74.0134,member,1315
f1613babd0ef4299,electric_bike,2024-06-01T15:11:54.000000,2024-06-01T15:45:20.000000,Broadway & E 14 St,5905.12,E 17 St & Broadway,5905.14,40.7345,-73.9907,40.737,-73.9901,member,2006
40018cbe54494845,electric_bike,2024-06-01T15:19:12.000000,2024-06-01T15:43:59.000000,Broadway & E 14 St,5905.12,Lafayette St & E 8 St,5788.13,40.7345,-73.9907,40.7302,-73.991,casual,1487
e9b5c5cfd7664cda,classic_bike,2024-06-01T15:25:26.000000,2024-06-01T15:33:47.000000,8 Ave & W 31 St,6450.12,Pier 40 - Hudson River Park,5573.05,40.7502,-73.9978,40.7276,-74.0115,casual,501
636f6e5c22534706,classic_bike,2024-06-01T15:35:26.000000,2024-06-01T16:05:52.000000,9 Ave & W 45 St,6717.06,Central Park S & 6 Ave,6904.04,40.7602,-73.9913,40.7659,-73.9764,casual,1826
fa2c9e7927584f1a,electric_bike,2024-06-01T15:41:50.000000,2024-06-01T15:46:01.000000,Lafayette St & E 8 St,5788.13,Grand Army Plaza & Plaza St West,4066.15,40.7302,-73.991,40.6729,-73.9709,casual,251
12d2fa0649e14d13,electric_bike,2024-06-01T15:43:35.000000,2024-06-01T15:58:52.000000,W 21 St & 6 Ave,6140.05,E 17 St & Broadway,5905.14,40.7418,-73.9945,40.737,-73.9901,casual,917
9fbc879e869c4a8e,electric_bike,2024-06-01T15:44:41.000000,2024-06-01T16:13:12.000000,West St & Chambers St,5470.10,Broadway & E 14 St,5905.12,40.7175,-74.0134,40.7345,-73.9907,member,1711
38eccb4db69f4eab,electric_bike,2024-06-01T15:57:45.000000,2024-06-01T16:12:42.000000,E 17 St & Broadway,5905.14,Bedford Ave & Nassau Ave,5525.04,40.737,-73.9901,40.723,-73.9521,casual,897
71a6014c5f3c44dc,classic_bike,2024-06-01T16:19:09.000000,2024-06-01T16:51:51.000000,E 17 St & Broadway,5905.14,Grand Army Plaza & Plaza St West,4066.15,40.737,-73.9901,40.6729,-73.9709,member,1962
58274e80e0824918,electric_bike,2024-06-01T16:41:46.000000,2024-06-01T17:00:45.000000,W 21 St & 6 Ave,6140.05,N 8 St & Driggs Ave,5453.07,40.7418,-73.9945,40.7177,-73.956,member,1139
5b6a810204284378,classic_bike,2024-06-01T16:50:24.000000,2024-06-01T17:17:53.000000,E 47 St & Park Ave,6551.09,Central Park S & 6 Ave,6904.04,40.7553,-73.9746,40.7659,-73.9764,casual,1649
df9967265c364f5c,classic_bike,2024-06-01T16:53:52.000000,2024-06-01T17:17:51.000000,N 8 St & Driggs Ave,5453.07,West St & Chambers St,5470.10,40.7177,-73.956,40.7175,-74.0134,casual,1439
b61e5fdb1a434206,classic_bike,2024-06-01T16:56:30.000000,2024-06-01T17:23:50.000000,E 47 St & Park Ave,6551.09,8 Ave & W 31 St,6450.12,40.7553,-73.9746,40.7502,-73.9978,casual,1640
aac04912084d4822,electric_bike,2024-06-01T17:08:22.000000,2024-06-01T17:12:52.000000,1 Ave & E 68 St,6753.08,1 Ave & E 68 St,6753.08,40.7659,-73.9585,40.7659,-73.9585,casual,270
723b80d423ef4561,classic_bike,2024-06-01T17:18:15.000000,2024-06-01T17:31:34.000000,Lafayette St & E 8 St,5788.13,Pier 40 - Hudson River Park,5573.05,40.7302,-73.991,40.7276,-74.0115,member,799
5c91f845534f496d,electric_bike,2024-06-01T17:30:13.000000,2024-06-01T17:58:07.000000,Bedford Ave & Nassau Ave,5525.04,W 21 St & 6 Ave,6140.05,40.723,-73.9521,40.7418,-73.9945,member,1674
3777d8232d8d4db8,classic_bike,2024-06-01T17:33:17.000000,2024-06-01T17:45:45.000000,N 8 St & Driggs Ave,5453.07,9 Ave & W 45 St,6717.06,40.7177,-73.956,40.7602,-73.9913,member,748
08453b2f8a8a4105,electric_bike,2024-06-01T17:47:50.000000,2024-06-01T18:09:58.000000,1 Ave & E 68 St,6753.08,E 47 St & Park Ave,6551.09,40.7659,-73.9585,40.7553,-73.9746,casual,1328
8f63c2bbae414155,electric_bike,2024-06-01T17:49:43.000000,2024-06-01T18:28:05.000000,E 47 St & Park Ave,6551.09,N 8 St & Driggs Ave,5453.07,40.7553,-73.9746,40.7177,-73.956,member,2302
7b6c7129cd634ba8,electric_bike,2024-06-01T17:54:33.000000,2024-06-01T18:25:50.000000,Lafayette St & E 8 St,5788.13,E 47 St & Park Ave,6551.09,40.7302,-73.991,40.7553,-73.9746,casual,1877
742632d7eda443c6,electric_bike,2024-06-01T18:15:33.000000,2024-06-01T18:47:15.000000,Grand Army Plaza & Plaza St West,4066.15,Broadway & E 14 St,5905.12,40.6729,-73.9709,40.7345,-73.9907,member,1902
1a3d1fa7bc8940a9,classic_bike,2024-06-01T18:39:17.000000,2024-06-01T18:58:00.000000,N 8 St & Driggs Ave,5453.07,Broadway & E 14 St,5905.12,40.7177,-73.956,40.7345,-73.9907,casual,1123
a36d756733a44f40,classic_bike,2024-06-01T18:54:58.000000,2024-06-01T19:18:04.000000,West St & Chambers St,5470.10,Grand Army Plaza & Plaza St West,4066.15,40.7175,-74.0134,40.6729,-73.9709,member,1386
ca226cfe4b4f4f74,classic_bike,2024-06-01T19:01:39.000000,2024-06-01T19:16:33.000000,N 8 St & Driggs Ave,5453.07,West St & Chambers St,5470.10,40.7177,-73.956,40.7175,-74.0134,casual,894
3b3f3800a17549c3,classic_bike,2024-06-01T19:02:00.000000,2024-06-01T19:32:09.000000,E 47 St & Park Ave,6551.09,N 8 St & Driggs Ave,5453.07,40.7553,-73.9746,40.7177,-73.956,member,1809
d25355159dc048b5,electric_bike,2024-06-01T19:08:19.000000,2024-06-01T19:21:52.000000,Grand Army Plaza & Plaza St West,4066.15,N 8 St & Driggs Ave,5453.07,40.6729,-73.9709,40.7177,-73.956,member,813
02bdeabe706048eb,classic_bike,2024-06-01T19:12:52.000000,2024-06-01T19:26:49.000000,Bedford Ave & Nassau Ave,5525.04,Grand Army Plaza & Plaza St West,4066.15,40.723,-73.9521,40.6729,-73.9709,casual,837
8044beb2b66e4bf4,electric_bike,2024-06-01T19:28:25.000000,2024-06-01T20:05:00.000000,W 21 St & 6 Ave,6140.05,South End Ave & Liberty St,5303.06,40.7418,-73.9945,40.7111,-74.0158,casual,2195
56a0b8b4d1794ee0,classic_bike,2024-06-01T19:31:00.000000,2024-06-01T19:40:15.000000,N 8 St & Driggs Ave,5453.07,Grand Army Plaza & Plaza St West,4066.15,40.7177,-73.956,40.6729,-73.9709,member,555
1e71afa9781547df,electric_bike,2024-06-01T19:32:42.000000,2024-06-01T20:09:45.000000,West St & Chambers St,5470.10,Broadway & E 14 St,5905.12,40.7175,-74.0134,40.7345,-73.9907,member,2223
6f74e55d99a94f6a,classic_bike,2024-06-01T19:43:05.000000,2024-06-01T19:55:00.000000,E 17 St & Broadway,5905.14,N 8 St & Driggs Ave,5453.07,40.737,-73.9901,40.7177,-73.956,member,715
12aa48cff18c4581,electric_bike,2024-06-01T20:01:21.000000,2024-06-01T20:38:49.000000,Lafayette St & E 8 St,5788.13,E 47 St & Park Ave,6551.09,40.7302,-73.991,40.7553,-73.9746,member,2248
a8f8687bb7664c85,classic_bike,2024-06-01T20:16:40.000000,2024-06-01T20:54:21.000000,Central Park S & 6 Ave,6904.04,Bedford Ave & Nassau Ave,5525.04,40.7659,-73.9764,40.723,-73.9521,casual,2261
ddfef8494c484cfc,classic_bike,2024-06-01T20:40:57.000000,2024-06-01T20:48:40.000000,9 Ave & W 45 St,6717.06,W 21 St & 6 Ave,6140.05,40.7602,-73.9913,40.7418,-73.9945,casual,463
a206527c3c6841d6,electric_bike,2024-06-01T20:44:42.000000,2024-06-01T21:01:34.000000,Lafayette St & E 8 St,5788.13,South End Ave & Liberty St,5303.06,40.7302,-73.991,40.7111,-74.0158,casual,1012
176132ed069f44f1,classic_bike,2024-06-01T21:10:27.000000,2024-06-01T21:34:27.000000,Broadway & E 14 St,5905.12,Grand Army Plaza & Plaza St West,4066.15,40.7345,-73.9907,40.6729,-73.9709,member,1440
b24d2a35e5304b87,electric_bike,2024-06-01T21:23:00.000000,2024-06-01T21:36:50.000000,Grand Army Plaza & Plaza St West,4066.15,Central Park S & 6 Ave,6904.04,40.6729,-73.9709,40.7659,-73.9764,casual,830
073bca43ad2a4a7c,classic_bike,2024-06-01T21:43:52.000000,2024-06-01T22:10:32.000000,West St & Chambers St,5470.10,Central Park S & 6 Ave,6904.04,40.7175,-74.0134,40.7659,-73.9764,casual,1600
7c2cfbcf0770418f,classic_bike,2024-06-01T21:47:34.000000,2024-06-01T22:01:34.000000,Broadway & E 14 St,5905.12,Bedford Ave & Nassau Ave,5525.04,40.7345,-73.9907,40.723,-73.9521,member,840
f9cf8499c9c14d45,electric_bike,2024-06-01T21:48:24.000000,2024-06-01T22:16:51.000000,Bedford Ave & Nassau Ave,5525.04,N 8 St & Driggs Ave,5453.07,40.723,-73.9521,40.7177,-73.956,member,1707
8857511761554667,classic_bike,2024-06-02T06:07:31.000000,2024-06-02T06:38:54.000000,8 Ave & W 31 St,6450.12,Lafayette St & E 8 St,5788.13,40.7502,-73.9978,40.7302,-73.991,casual,1883
84cfee39bf31429f,classic_bike,2024-06-02T06:10:06.000000,2024-06-02T06:29:45.000000,9 Ave & W 45 St,6717.06,E 17 St & Broadway,5905.14,40.7602,-73.9913,40.737,-73.9901,casual,1179
